time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010451050000	11.0239	20.971	4.77486	3.24933	0.638723	radar	0	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.8245	20.9262	4.67598	3.2927	0.657888	lidar	0.000398638	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.6171	20.9062	4.4445	3.30473	0.600951	radar	0	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2855	20.9657	4.72325	3.27486	0.51108	lidar	0.00575601	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0616	20.9389	4.70953	3.30004	0.513855	radar	0	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.87776	20.8965	4.58481	3.33609	0.533134	lidar	0.00102481	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.6769	20.8729	4.3809	3.34337	0.484789	radar	0	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.48377	20.8284	4.32667	3.37152	0.492445	lidar	0.000236083	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.27796	20.7789	4.37755	3.40165	0.510172	radar	0	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.92813	20.7837	4.70509	3.36785	0.419562	lidar	0.00539538	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68686	20.7142	4.79732	3.39879	0.442345	radar	0	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39303	20.6439	4.96461	3.40805	0.417749	lidar	0.00235034	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.14853	20.5675	5.03288	3.43685	0.437062	radar	0	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.90575	20.4863	5.04503	3.46023	0.438214	lidar	6.11901e-05	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.67298	20.4037	5.13176	3.49403	0.472414	radar	0	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.33131	20.3599	5.35956	3.47206	0.404271	lidar	0.00274512	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.07598	20.2701	5.34811	3.48965	0.396439	radar	0	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.8209	20.1803	5.35819	3.50704	0.392933	lidar	7.15438e-06	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.57981	20.0923	5.30871	3.52308	0.385044	radar	0	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.35264	19.99	5.26435	3.54826	0.394877	lidar	0.000111005	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
